RefP,Designation,Prix,Cout Livraison, Vendeur
CF004,Perceuse a percussion base,315.00,20.00 , marketplace,
CF006,Perceuse a percussion medium,449.00,20.00,marketplace,
CF009,Perceuse a percussion premium,499.00,20.00,marketplace,
CG066,Perceuse-visseuse sans fil,177.50,20.00,marketplace,
F10,Feu Tricolore, 1024.00  , 150.00 ,marketplace,
MP220,Disqueuse basique, 199.00 , 25.00 ,marketplace,
MP311,Disqueuse premium, 239.00 , 25.00 ,marketplace,
MP401,Marteau piqueur medium, 2290.00 , 75.00 ,marketplace,
MP411,Marteau piqueur premium, 2690.00 , 75.00,marketplace,
P05,Pancarte Travaux, 133.00  , 50.00  ,marketplace,
PE105,Boite de tournevis, 280.00  , 50.00 ,marketplace,
PE85,Boite a outils, 2650.00 , 100.00  ,marketplace,
PP105,Pelle, 11.00  , 20.00  ,marketplace,
PP144,Pioche, 15.00  , 20.00  ,marketplace,
RA115,Boite de rallonges, 990.00  , 50.00  ,marketplace,
SI110,Silencieux pour MP, 880.00  , 35.00  ,marketplace,
VP42,Veste protection fluo, 55.00  , 5.00  ,marketplace,
ref01,667 corteiz,20.0,1.0,1507,
ref03,okayokay,15.0,2.0,1507,
ref04,okayokaymany,20.0,5.0,1507,
ref05,ref,150.0,0.5,1507,
ref07,casquette,500.0,2.0,1507,
ref06,bhein,50.0,2.0,1507,
ref06,casquette,401.0,1.0,1507,
ref04,bien bon paris,50.0,3.0,1507,
ref07,jiji,2.0,4.0,1507,
ref03,produit vendu par la marketplace!,20.0,4.0, marketplace,
ref100,shaker,14.0,2.0,1507
ref04,okaypl,14.0,2.0,154
